"Year","Month","BFDM_Adj"
"2002","01",63837.0340069444
"2002","02",49191.5602569444
"2002","03",57542.9974513889
"2002","04",58568.5896458333
"2002","05",46212.3768402778
"2002","06",42985.3786458333
"2002","07",38659.7250347222
"2002","08",30949.5638680556
"2002","09",38195.4477013889
"2002","10",39962.1205347222
"2002","11",46746.2162569444
"2002","12",45853.7397569444
"2003","01",40294.8040069444
"2003","02",40165.3102569444
"2003","03",46910.8974513889
"2003","04",45126.6496458333
"2003","05",58421.7568402778
"2003","06",58499.4786458333
"2003","07",64657.4150347222
"2003","08",74645.4138680556
"2003","09",72658.3877013889
"2003","10",81857.3305347222
"2003","11",76144.9162569444
"2003","12",66109.3097569445
"2004","01",70973.8840069444
"2004","02",66109.8952569444
"2004","03",73680.6674513889
"2004","04",63311.3196458333
"2004","05",44264.7118402778
"2004","06",60393.7286458333
"2004","07",65546.2250347222
"2004","08",79456.1638680556
"2004","09",66985.0677013889
"2004","10",73680.4605347222
"2004","11",62970.2562569444
"2004","12",55192.4097569444
"2005","01",53982.1040069444
"2005","02",51415.5302569444
"2005","03",60117.8474513889
"2005","04",73375.8096458333
"2005","05",68092.3668402778
"2005","06",62983.7586458333
"2005","07",73163.4450347222
"2005","08",91643.0138680556
"2005","09",108653.477701389
"2005","10",98135.7405347222
"2005","11",81176.7462569444
"2005","12",85207.3397569444
"2006","01",80844.0940069444
"2006","02",77965.2402569444
"2006","03",92092.8474513889
"2006","04",90776.3496458333
"2006","05",93741.4168402778
"2006","06",90248.4286458333
"2006","07",80134.9250347222
"2006","08",88430.0938680556
"2006","09",90893.0477013889
"2006","10",89071.4905347222
"2006","11",80761.6862569444
"2006","12",83740.9997569445
"2007","01",87616.5340069445
"2007","02",71556.5602569444
"2007","03",52988.2974513889
"2007","04",50340.8596458333
"2007","05",49119.0568402778
"2007","06",64482.8786458333
"2007","07",55688.6950347222
"2007","08",47554.6738680556
"2007","09",38717.2377013889
"2007","10",48826.8605347222
"2007","11",50125.2462569444
"2007","12",49826.9997569444
"2008","01",33554.8340069444
"2008","02",32260.7702569444
"2008","03",28886.3374513889
"2008","04",18714.9696458333
"2008","05",11952.7268402778
"2008","06",15048.3286458333
"2008","07",17188.3250347222
"2008","08",12929.2638680556
"2008","09",16148.1477013889
"2008","10",20169.1405347222
"2008","11",27546.8862569444
"2008","12",36642.5397569444
"2009","01",37435.5340069444
"2009","02",29860.6102569444
"2009","03",26269.6174513889
"2009","04",28922.2896458333
"2009","05",20976.7068402778
"2009","06",12304.9286458333
"2009","07",12426.6250347222
"2009","08",8792.46386805555
"2009","09",16514.4477013889
"2009","10",20948.7405347222
"2009","11",32009.5062569444
"2009","12",30986.2997569444
"2010","01",25743.1640069444
"2010","02",32981.7102569444
"2010","03",30898.9574513889
"2010","04",58822.6396458333
"2010","05",77344.3368402778
"2010","06",59194.3986458333
"2010","07",71873.6250347222
"2010","08",61436.0638680556
"2010","09",57732.8577013889
"2010","10",59912.4505347222
"2010","11",68839.5462569444
"2010","12",57199.7697569444
"2011","01",73281.5440069444
"2011","02",61015.3102569444
"2011","03",51468.7774513889
"2011","04",51003.1296458333
"2011","05",46250.0968402778
"2011","06",49347.7286458333
"2011","07",41887.5250347222
"2011","08",53060.3338680556
"2011","09",50900.7977013889
"2011","10",38296.8605347222
"2011","11",41460.7262569444
"2011","12",38624.7497569444
"2012","01",37463.4440069444
"2012","02",51745.8502569444
"2012","03",54446.0974513889
"2012","04",47869.9796458333
"2012","05",61095.5268402778
"2012","06",57035.8086458333
"2012","07",51659.2450347222
"2012","08",25541.4238680556
"2012","09",24797.0577013889
"2012","10",21391.8505347222
"2012","11",29017.5362569444
"2012","12",35373.8197569444
"2013","01",39830.7440069444
"2013","02",53225.6902569445
"2013","03",45906.6074513889
"2013","04",40884.7796458333
"2013","05",33619.4368402778
"2013","06",31455.8186458333
"2013","07",20459.1550347222
"2013","08",36398.0438680556
"2013","09",40295.5377013889
"2013","10",40974.5005347222
"2013","11",37484.6362569444
"2013","12",38431.5197569444
"2014","01",43339.5940069444
"2014","02",42968.9602569444
"2014","03",36630.0974513889
"2014","04",41045.4896458333
"2014","05",50716.7768402778
"2014","06",66479.6786458333
"2014","07",82228.3650347222
"2014","08",52746.3138680556
"2014","09",41920.2577013889
"2014","10",37178.1405347222
"2014","11",34759.3862569444
"2014","12",38910.0997569444
"2015","01",34119.8340069444
"2015","02",34622.3602569444
"2015","03",36005.5074513889
"2015","04",38504.0896458333
"2015","05",29450.8268402778
"2015","06",26049.7286458333
"2015","07",16776.6550347222
"2015","08",27066.3638680556
"2015","09",29786.6477013889
"2015","10",31452.3405347222
"2015","11",31506.1862569444
"2015","12",33486.0997569444
"2016","01",26387.8340069444
"2016","02",31408.4602569444
"2016","03",36903.3974513889
"2016","04",37056.7396458333
"2016","05",48017.9168402778
"2016","06",46079.3786458333
"2016","07",45279.3250347222
"2016","08",46792.4938680556
"2016","09",43780.2477013889
"2016","10",35906.8405347222
"2016","11",36629.4862569444
"2016","12",41038.4997569444
"2017","01",50737.6340069444
"2017","02",57788.8602569444
"2017","03",61833.1574513889
"2017","04",49147.2896458333
"2017","05",41571.9768402778
"2017","06",34311.3586458333
"2017","07",22886.9550347222
"2017","08",34375.2638680556
"2017","09",33521.5777013889
"2017","10",41354.5405347222
"2017","11",38951.8662569444
"2017","12",36363.0997569444
