"Month","Year","MonYr","SpatAdj"
8,2002,2002-08-01,0.285936260705267
9,2002,2002-09-01,1.18234100263346
10,2002,2002-10-01,0.820408610001906
11,2002,2002-11-01,0.932626606005746
12,2002,2002-12-01,0.199022865782077
1,2003,2003-01-01,0
2,2003,2003-02-01,0
3,2003,2003-03-01,NaN
4,2003,2003-04-01,1.27850743941168
5,2003,2003-05-01,0.0769636820253612
6,2003,2003-06-01,0.062159901607018
7,2003,2003-07-01,0.085278857918421
8,2003,2003-08-01,0.0949467784535006
9,2003,2003-09-01,0.563362730805739
10,2003,2003-10-01,0.318520239366349
11,2003,2003-11-01,0.5380343737378
12,2003,2003-12-01,0.499101479454778
1,2004,2004-01-01,0
2,2004,2004-02-01,0
3,2004,2004-03-01,NaN
4,2004,2004-04-01,0
5,2004,2004-05-01,0.232247589764851
6,2004,2004-06-01,0.149074636039498
7,2004,2004-07-01,0
8,2004,2004-08-01,0
9,2004,2004-09-01,0
10,2004,2004-10-01,0.0261597555600033
11,2004,2004-11-01,-0.00339968579989987
12,2004,2004-12-01,0.0011350051748986
1,2005,2005-01-01,3.13513873128565
2,2005,2005-02-01,3.35907721209177
3,2005,2005-03-01,NaN
4,2005,2005-04-01,1.14942023317256
5,2005,2005-05-01,0.299547934901471
6,2005,2005-06-01,0.2158742483064
7,2005,2005-07-01,0
8,2005,2005-08-01,0
9,2005,2005-09-01,0
10,2005,2005-10-01,0
11,2005,2005-11-01,0
12,2005,2005-12-01,0
1,2006,2006-01-01,0
2,2006,2006-02-01,0
3,2006,2006-03-01,NaN
4,2006,2006-04-01,0
5,2006,2006-05-01,0.139296423092054
6,2006,2006-06-01,0
7,2006,2006-07-01,0
8,2006,2006-08-01,0.249603114716962
9,2006,2006-09-01,0
10,2006,2006-10-01,0
11,2006,2006-11-01,0
12,2006,2006-12-01,0
1,2007,2007-01-01,0
2,2007,2007-02-01,0
3,2007,2007-03-01,NaN
4,2007,2007-04-01,0.168831617967991
5,2007,2007-05-01,0.17352063841911
6,2007,2007-06-01,0
7,2007,2007-07-01,0.26068838430289
8,2007,2007-08-01,0.149761868830177
9,2007,2007-09-01,0.216295817742751
10,2007,2007-10-01,0
11,2007,2007-11-01,0
12,2007,2007-12-01,0.216895033763571
1,2008,2008-01-01,0
2,2008,2008-02-01,0
3,2008,2008-03-01,NaN
4,2008,2008-04-01,0.587312812103239
5,2008,2008-05-01,0.172240973222038
6,2008,2008-06-01,0.275561885980211
7,2008,2008-07-01,0.296913290251471
8,2008,2008-08-01,0.689592562269272
9,2008,2008-09-01,0.70755994263424
10,2008,2008-10-01,0.324811445234621
11,2008,2008-11-01,0.172571599060242
12,2008,2008-12-01,0.055516024433182
1,2009,2009-01-01,0
2,2009,2009-02-01,0
3,2009,2009-03-01,NaN
4,2009,2009-04-01,0
5,2009,2009-05-01,0.141754595089166
6,2009,2009-06-01,0.352034707991931
7,2009,2009-07-01,0.476513992845437
8,2009,2009-08-01,0.0599047475320709
9,2009,2009-09-01,0
10,2009,2009-10-01,0.082482849473148
11,2009,2009-11-01,0
12,2009,2009-12-01,0.305446668258311
1,2010,2010-01-01,0
2,2010,2010-02-01,0
3,2010,2010-03-01,NaN
4,2010,2010-04-01,0
5,2010,2010-05-01,0
6,2010,2010-06-01,0.0240467324340978
7,2010,2010-07-01,0.141923068202301
8,2010,2010-08-01,0
9,2010,2010-09-01,0
10,2010,2010-10-01,0.0659862795785184
11,2010,2010-11-01,0
12,2010,2010-12-01,0
1,2011,2011-01-01,0
2,2011,2011-02-01,0
3,2011,2011-03-01,NaN
4,2011,2011-04-01,0
5,2011,2011-05-01,0.0651173452397634
6,2011,2011-06-01,0.0961869297363912
7,2011,2011-07-01,0
8,2011,2011-08-01,0
9,2011,2011-09-01,0
10,2011,2011-10-01,0.237656629656243
11,2011,2011-11-01,0.0718397729655717
12,2011,2011-12-01,0
1,2012,2012-01-01,0
2,2012,2012-02-01,0
3,2012,2012-03-01,NaN
4,2012,2012-04-01,0.24511628190134
5,2012,2012-05-01,0.209149980720249
6,2012,2012-06-01,0
7,2012,2012-07-01,0
8,2012,2012-08-01,0.0998412458867848
9,2012,2012-09-01,0
10,2012,2012-10-01,0
11,2012,2012-11-01,0.135977550761393
12,2012,2012-12-01,0.0879908169157129
1,2013,2013-01-01,0
2,2013,2013-02-01,0
3,2013,2013-03-01,NaN
4,2013,2013-04-01,0
5,2013,2013-05-01,0.191702833812515
6,2013,2013-06-01,0.233731147596145
7,2013,2013-07-01,0.0247427741876226
8,2013,2013-08-01,0.149761868830177
9,2013,2013-09-01,0.195897577248616
10,2013,2013-10-01,0.041241424736574
11,2013,2013-11-01,0.0339943876903482
12,2013,2013-12-01,0
1,2014,2014-01-01,0
2,2014,2014-02-01,0
3,2014,2014-03-01,NaN
4,2014,2014-04-01,0
5,2014,2014-05-01,0
6,2014,2014-06-01,0.0721401973022934
7,2014,2014-07-01,0
8,2014,2014-08-01,0
9,2014,2014-09-01,0
10,2014,2014-10-01,0
11,2014,2014-11-01,0.440270993688668
12,2014,2014-12-01,0.304863254260326
1,2015,2015-01-01,0
2,2015,2015-02-01,0
3,2015,2015-03-01,NaN
4,2015,2015-04-01,0
5,2015,2015-05-01,0.0146597489572117
6,2015,2015-06-01,0.0466199262052635
7,2015,2015-07-01,0.0247427741876226
8,2015,2015-08-01,0.0374404672075443
9,2015,2015-09-01,0.450968669056454
10,2015,2015-10-01,0.247448548419444
11,2015,2015-11-01,0.135977550761393
12,2015,2015-12-01,0.109088095806539
1,2016,2016-01-01,0
2,2016,2016-02-01,0
3,2016,2016-03-01,NaN
4,2016,2016-04-01,0
5,2016,2016-05-01,0
6,2016,2016-06-01,0.0798815160630686
7,2016,2016-07-01,0.157928532573353
8,2016,2016-08-01,0.171156421520203
9,2016,2016-09-01,0
10,2016,2016-10-01,0.0747041276386099
11,2016,2016-11-01,0
12,2016,2016-12-01,0.172208209618674
1,2017,2017-01-01,0
2,2017,2017-02-01,0
3,2017,2017-03-01,NaN
4,2017,2017-04-01,0
5,2017,2017-05-01,0.13193373764591
6,2017,2017-06-01,0.251214862468425
7,2017,2017-07-01,0.0494855483752452
8,2017,2017-08-01,0.0499206229433924
9,2017,2017-09-01,0.123597610138715
10,2017,2017-10-01,0
11,2017,2017-11-01,0.139278405834143
12,2017,2017-12-01,0.0416370183248865
