"Year","Month","FBCAdj"
"2002","01",9.82288634259259
"2002","02",16.2917724537037
"2002","03",17.5973918981481
"2002","04",21.750905787037
"2002","05",19.6206030092593
"2002","06",18.8581946759259
"2002","07",24.1112168981482
"2002","08",16.9371974537037
"2002","09",13.6319196759259
"2002","10",18.6249141203704
"2002","11",25.3483613425926
"2002","12",19.2046363425926
"2003","01",7.45188634259259
"2003","02",13.6657724537037
"2003","03",19.5443918981481
"2003","04",16.005905787037
"2003","05",13.0296030092593
"2003","06",14.5071946759259
"2003","07",16.7242168981481
"2003","08",15.0611974537037
"2003","09",15.5309196759259
"2003","10",12.6299141203704
"2003","11",14.3443613425926
"2003","12",12.6676363425926
"2004","01",11.4028863425926
"2004","02",14.2497724537037
"2004","03",16.3543918981481
"2004","04",18.398905787037
"2004","05",11.7136030092593
"2004","06",16.0681946759259
"2004","07",12.2482168981481
"2004","08",12.6781974537037
"2004","09",24.4189196759259
"2004","10",16.1569141203704
"2004","11",13.2503613425926
"2004","12",18.9136363425926
"2005","01",16.1678863425926
"2005","02",13.5627724537037
"2005","03",11.3683918981481
"2005","04",14.351905787037
"2005","05",10.7866030092593
"2005","06",10.8691946759259
"2005","07",16.4122168981481
"2005","08",12.4671974537037
"2005","09",17.2359196759259
"2005","10",12.8929141203704
"2005","11",18.1663613425926
"2005","12",10.9106363425926
"2006","01",18.1448863425926
"2006","02",17.4047724537037
"2006","03",16.9073918981481
"2006","04",14.449905787037
"2006","05",12.8036030092593
"2006","06",11.6771946759259
"2006","07",15.2582168981481
"2006","08",13.4401974537037
"2006","09",16.1339196759259
"2006","10",13.3259141203704
"2006","11",11.6113613425926
"2006","12",9.76063634259259
"2007","01",12.8958863425926
"2007","02",12.5387724537037
"2007","03",11.6043918981481
"2007","04",11.939905787037
"2007","05",9.27060300925926
"2007","06",10.7651946759259
"2007","07",17.3412168981481
"2007","08",11.0301974537037
"2007","09",13.7299196759259
"2007","10",13.2119141203704
"2007","11",12.5633613425926
"2007","12",13.8296363425926
"2008","01",11.5398863425926
"2008","02",14.3407724537037
"2008","03",19.4833918981481
"2008","04",11.614905787037
"2008","05",7.50160300925926
"2008","06",16.6901946759259
"2008","07",12.0832168981481
"2008","08",13.4381974537037
"2008","09",11.2869196759259
"2008","10",13.9509141203704
"2008","11",8.00136134259259
"2008","12",15.5876363425926
"2009","01",13.9168863425926
"2009","02",15.5377724537037
"2009","03",11.0203918981481
"2009","04",16.132905787037
"2009","05",16.5036030092593
"2009","06",15.3141946759259
"2009","07",8.99821689814815
"2009","08",7.5711974537037
"2009","09",5.29391967592593
"2009","10",13.2089141203704
"2009","11",9.91436134259259
"2009","12",15.5216363425926
"2010","01",12.0558863425926
"2010","02",13.5597724537037
"2010","03",12.7153918981481
"2010","04",10.356905787037
"2010","05",17.4366030092593
"2010","06",11.6221946759259
"2010","07",14.1022168981481
"2010","08",14.4591974537037
"2010","09",15.0199196759259
"2010","10",14.8059141203704
"2010","11",15.2953613425926
"2010","12",13.2416363425926
"2011","01",12.2108863425926
"2011","02",10.5837724537037
"2011","03",10.9083918981481
"2011","04",9.42590578703703
"2011","05",13.6716030092593
"2011","06",12.2631946759259
"2011","07",12.5572168981481
"2011","08",18.8451974537037
"2011","09",15.7309196759259
"2011","10",18.5389141203704
"2011","11",14.0523613425926
"2011","12",7.09163634259259
"2012","01",16.2448863425926
"2012","02",14.9987724537037
"2012","03",15.1493918981481
"2012","04",18.585905787037
"2012","05",15.1176030092593
"2012","06",12.8291946759259
"2012","07",9.04721689814815
"2012","08",13.7851974537037
"2012","09",9.95291967592593
"2012","10",8.28791412037037
"2012","11",9.88436134259259
"2012","12",12.3266363425926
"2013","01",10.3118863425926
"2013","02",11.8477724537037
"2013","03",8.22739189814815
"2013","04",8.48190578703704
"2013","05",16.7826030092593
"2013","06",12.3981946759259
"2013","07",10.3812168981481
"2013","08",16.3981974537037
"2013","09",12.9139196759259
"2013","10",11.9349141203704
"2013","11",12.1563613425926
"2013","12",11.2346363425926
"2014","01",10.7398863425926
"2014","02",11.2107724537037
"2014","03",12.0893918981481
"2014","04",8.38990578703704
"2014","05",13.6156030092593
"2014","06",8.73219467592592
"2014","07",9.30921689814815
"2014","08",14.1871974537037
"2014","09",10.0699196759259
"2014","10",10.7409141203704
"2014","11",11.3823613425926
"2014","12",15.4266363425926
"2015","01",18.9148863425926
"2015","02",9.3857724537037
"2015","03",9.01639189814815
"2015","04",11.841905787037
"2015","05",11.3326030092593
"2015","06",12.7841946759259
"2015","07",12.8642168981482
"2015","08",12.5291974537037
"2015","09",9.63691967592593
"2015","10",7.80691412037037
"2015","11",11.9033613425926
"2015","12",12.9866363425926
"2016","01",12.8068863425926
"2016","02",10.0907724537037
"2016","03",11.8953918981481
"2016","04",11.828905787037
"2016","05",13.0906030092593
"2016","06",8.99119467592593
"2016","07",8.92421689814815
"2016","08",7.6461974537037
"2016","09",9.57191967592593
"2016","10",13.5139141203704
"2016","11",11.2433613425926
"2016","12",10.2046363425926
"2017","01",13.7888863425926
"2017","02",15.0067724537037
"2017","03",11.3183918981481
"2017","04",15.379905787037
"2017","05",13.6486030092593
"2017","06",19.8171946759259
"2017","07",15.6102168981481
"2017","08",10.8051974537037
"2017","09",10.6029196759259
"2017","10",11.6389141203704
"2017","11",11.2013613425926
"2017","12",9.92463634259259
