"Year","Month","SFDM_Adj"
"2002","01",3.2593965243911
"2002","02",3.09328346482548
"2002","03",3.24220333970648
"2002","04",2.8947354772901
"2002","05",2.99418642215074
"2002","06",2.61907655037759
"2002","07",2.93582964890088
"2002","08",2.93419123767026
"2002","09",2.77132447990191
"2002","10",3.01017699459723
"2002","11",3.05935142855013
"2002","12",3.27318101581792
"2003","01",3.30304156124195
"2003","02",3.23691977770539
"2003","03",3.08753552570864
"2003","04",3.16035137398754
"2003","05",2.98081871283335
"2003","06",2.61907655037759
"2003","07",2.93582964890088
"2003","08",2.93419123767026
"2003","09",2.77132447990191
"2003","10",2.87223514891167
"2003","11",2.85854295449604
"2003","12",2.83976610799661
"2004","01",2.89640553146672
"2004","02",3.16011181291334
"2004","03",2.94309787903643
"2004","04",2.93490072342489
"2004","05",3.14826422978244
"2004","06",2.61907655037759
"2004","07",2.93582964890088
"2004","08",2.93419123767026
"2004","09",2.77132447990191
"2004","10",3.24147774958544
"2004","11",3.4294818105921
"2004","12",3.16480929093812
"2005","01",2.66098288503391
"2005","02",2.62655768426958
"2005","03",2.7248145253144
"2005","04",2.69611921914677
"2005","05",2.71156153893204
"2005","06",2.61907655037759
"2005","07",2.93582964890088
"2005","08",2.93419123767026
"2005","09",2.77132447990191
"2005","10",2.76877185806908
"2005","11",2.6637642180131
"2005","12",2.82539099610425
"2006","01",3.04110348134771
"2006","02",2.87246948262211
"2006","03",2.71364405302676
"2006","04",2.6659156117566
"2006","05",2.7618182192431
"2006","06",2.61907655037759
"2006","07",2.93582964890088
"2006","08",2.93419123767026
"2006","09",2.77132447990191
"2006","10",3.26061889173493
"2006","11",3.02414146812406
"2006","12",2.8700877063966
"2007","01",3.09956306644616
"2007","02",3.09743136212101
"2007","03",3.05879882425947
"2007","04",3.03315807630151
"2007","05",2.99690359637178
"2007","06",4.78639388512576
"2007","07",2.93582964890088
"2007","08",2.93419123767026
"2007","09",2.77132447990191
"2007","10",3.16019273053373
"2007","11",3.15258712595936
"2007","12",3.15568623972199
"2008","01",3.25437986915422
"2008","02",3.23881159333074
"2008","03",3.31648760777872
"2008","04",3.38962704656401
"2008","05",3.30603787200641
"2008","06",2.61907655037759
"2008","07",2.93582964890088
"2008","08",2.93419123767026
"2008","09",2.77132447990191
"2008","10",3.28998496252753
"2008","11",3.20467535787065
"2008","12",3.18433752290411
"2009","01",3.02849999669814
"2009","02",3.05767721965128
"2009","03",3.17403488258314
"2009","04",3.31108570047842
"2009","05",3.11549873484549
"2009","06",2.61907655037759
"2009","07",2.93582964890088
"2009","08",2.93419123767026
"2009","09",2.77132447990191
"2009","10",2.80118710132026
"2009","11",2.75002689932598
"2009","12",3.1278256558799
"2010","01",3.15046508206647
"2010","02",3.0166905173252
"2010","03",3.05471801383661
"2010","04",3.04324259406604
"2010","05",3.15350378811921
"2010","06",2.61907655037759
"2010","07",2.93582964890088
"2010","08",2.93419123767026
"2010","09",2.77132447990191
"2010","10",2.74751060002615
"2010","11",3.06964541925841
"2010","12",3.0723804756413
"2011","01",2.67042582170412
"2011","02",2.89136199409957
"2011","03",2.79951205791188
"2011","04",2.99050749739217
"2011","05",2.98605902811343
"2011","06",2.61907655037759
"2011","07",2.93582964890088
"2011","08",2.93419123767026
"2011","09",2.77132447990191
"2011","10",2.59830566131716
"2011","11",2.50330584184765
"2011","12",2.84477611103809
"2012","01",2.97561498314932
"2012","02",2.95538514021213
"2012","03",2.98635054078551
"2012","04",2.88509919125853
"2012","05",2.74806916417871
"2012","06",2.61907655037759
"2012","07",2.93582964890088
"2012","08",2.93419123767026
"2012","09",2.77132447990191
"2012","10",2.95471042935262
"2012","11",3.09888958020686
"2012","12",2.47344894256728
"2013","01",2.57852308340536
"2013","02",2.64476091692864
"2013","03",2.90539499131795
"2013","04",2.68697685456658
"2013","05",2.74975564667987
"2013","06",2.61907655037759
"2013","07",2.93582964890088
"2013","08",2.93419123767026
"2013","09",5.20268824406089
"2013","10",2.5751142563345
"2013","11",2.67817142457105
"2013","12",2.80232634182136
"2014","01",2.68630784235018
"2014","02",2.5801470804035
"2014","03",2.40562404475041
"2014","04",2.53324508468441
"2014","05",2.48628352289242
"2014","06",2.61907655037759
"2014","07",2.93582964890088
"2014","08",2.93419123767026
"2014","09",2.77132447990191
"2014","10",2.70865275281322
"2014","11",2.54924008051871
"2014","12",2.5955526289535
"2015","01",2.78746252063143
"2015","02",2.64206882808381
"2015","03",2.84834462944604
"2015","04",2.94654413419066
"2015","05",2.96318873276766
"2015","06",2.61907655037759
"2015","07",2.93582964890088
"2015","08",2.93419123767026
"2015","09",2.77132447990191
"2015","10",2.95839083624744
"2015","11",2.90669421837543
"2015","12",3.07204810213324
"2016","01",3.0673447126465
"2016","02",2.97045811328522
"2016","03",2.8884304600375
"2016","04",2.84171234585995
"2016","05",2.97676039506223
"2016","06",5.03571705771587
"2016","07",2.93582964890088
"2016","08",2.93419123767026
"2016","09",2.77132447990191
"2016","10",3.04464940583482
"2016","11",3.03488703473778
"2016","12",2.67529481532894
"2017","01",2.77679151590102
"2017","02",2.98606043029169
"2017","03",3.07012391744975
"2017","04",2.84477689598418
"2017","05",2.83835660125294
"2017","06",2.61907655037759
"2017","07",2.93582964890088
"2017","08",2.93419123767026
"2017","09",2.77132447990191
"2017","10",2.68258650865431
"2017","11",2.41776031654499
"2017","12",2.64820367988258
